,STATION,DATE,TEMP,MAX,MIN,CELSIUS
323,RPM00098646,2017-11-20,83.84,,79.16,28.80
324,RPM00098646,2017-11-21,82.04,85.46,80.06,27.80
325,RPM00098646,2017-11-22,83.66,89.60,,28.70
326,RPM00098646,2017-11-23,83.84,89.06,77.90,28.80
327,RPM00098646,2017-11-24,82.76,89.60,,28.20
328,RPM00098646,2017-11-25,82.22,88.52,78.08,27.90
329,RPM00098646,2017-11-26,83.30,,78.62,28.50
330,RPM00098646,2017-11-27,83.30,88.34,,28.50
331,RPM00098646,2017-11-28,84.02,90.32,76.10,28.90
332,RPM00098646,2017-11-29,82.04,87.80,,27.80
333,RPM00098646,2017-11-30,83.12,89.06,77.00,28.40
334,RPM00098646,2017-12-01,83.48,89.60,77.18,28.60
335,RPM00098646,2017-12-02,83.66,,78.80,28.70
336,RPM00098646,2017-12-03,82.76,89.24,,28.20
337,RPM00098646,2017-12-04,83.84,90.68,76.64,28.80
338,RPM00098646,2017-12-05,83.12,90.68,,28.40
339,RPM00098646,2017-12-06,82.04,88.34,76.64,27.80
340,RPM00098646,2017-12-07,82.58,90.32,77.00,28.10
341,RPM00098646,2017-12-08,82.76,91.40,,28.20
342,RPM00098646,2017-12-09,83.12,89.78,75.92,28.40
343,RPM00098646,2017-12-10,82.76,,77.90,28.20
344,RPM00098646,2017-12-11,80.78,90.68,,27.10
345,RPM00098646,2017-12-12,80.78,88.52,75.92,27.10
346,RPM00098646,2017-12-13,79.52,,,26.40
347,RPM00098646,2017-12-14,77.36,80.60,,25.20
348,RPM00098646,2017-12-15,73.04,75.92,,22.80
349,RPM00098646,2017-12-16,75.74,78.80,69.08,24.30
350,RPM00098646,2017-12-17,80.78,87.08,71.06,27.10
351,RPM00098646,2017-12-18,81.86,88.70,75.92,27.70
352,RPM00098646,2017-12-19,82.76,87.80,76.10,28.20
353,RPM00098646,2017-12-20,83.12,88.34,78.08,28.40
354,RPM00098646,2017-12-21,80.78,87.80,,27.10
355,RPM00098646,2017-12-22,79.52,81.68,76.46,26.40
356,RPM00098646,2017-12-23,82.58,88.34,77.72,28.10
357,RPM00098646,2017-12-24,82.40,88.16,,28.00
358,RPM00098646,2017-12-25,82.22,87.98,77.00,27.90
359,RPM00098646,2017-12-26,82.76,87.80,,28.20
360,RPM00098646,2017-12-27,82.40,88.34,77.36,28.00
361,RPM00098646,2017-12-28,80.06,87.26,,26.70
362,RPM00098646,2017-12-29,81.86,,77.18,27.70
363,RPM00098646,2017-12-30,79.16,,,26.20
364,RPM00098646,2017-12-31,81.50,86.90,73.76,27.50
365,RPM00098646,2018-01-01,78.26,82.40,,25.70
366,RPM00098646,2018-01-02,80.96,84.92,75.92,27.20
367,RPM00098646,2018-01-03,81.68,87.26,76.46,27.60
368,RPM00098646,2018-01-04,81.86,,76.28,27.70
369,RPM00098646,2018-01-05,80.60,,,27.00
370,RPM00098646,2018-01-06,82.22,87.08,76.82,27.90
371,RPM00098646,2018-01-07,80.42,86.18,,26.90
372,RPM00098646,2018-01-08,81.68,87.26,,27.60
373,RPM00098646,2018-01-09,82.40,89.24,76.64,28.00
374,RPM00098646,2018-01-10,80.96,87.08,,27.20
375,RPM00098646,2018-01-11,81.32,87.08,76.46,27.40
376,RPM00098646,2018-01-12,81.50,88.88,75.92,27.50
377,RPM00098646,2018-01-13,80.06,88.16,,26.70
378,RPM00098646,2018-01-14,78.80,86.00,,26.00
379,RPM00098646,2018-01-15,76.46,78.98,,24.70
380,RPM00098646,2018-01-16,75.20,,,24.00
381,RPM00098646,2018-01-17,79.34,,72.14,26.30
382,RPM00098646,2018-01-18,79.88,,,26.60
