,STATION,DATE,TEMP,MAX,MIN,CELSIUS
1677,RP000098755,2017-08-05,83.84,93.56,77.00,28.80
1678,RP000098755,2017-08-06,84.38,90.86,76.64,29.10
1679,RP000098755,2017-08-07,82.94,90.50,,28.30
1680,RP000098755,2017-08-08,83.84,91.58,77.00,28.80
1681,RP000098755,2017-08-09,83.48,92.84,,28.60
1682,RP000098755,2017-08-10,84.20,94.28,75.74,29.00
1683,RP000098755,2017-08-11,83.30,90.50,76.64,28.50
1684,RP000098755,2017-08-12,84.02,,75.92,28.90
1685,RP000098755,2017-08-13,83.66,92.12,75.74,28.70
1686,RP000098755,2017-08-14,81.68,90.32,,27.60
1687,RP000098755,2017-08-15,80.96,89.24,75.02,27.20
1688,RP000098755,2017-08-16,80.96,86.90,75.20,27.20
1689,RP000098755,2017-08-17,84.02,93.38,75.56,28.90
1690,RP000098755,2017-08-18,81.86,92.66,,27.70
1691,RP000098755,2017-08-19,80.60,91.76,74.84,27.00
1692,RP000098755,2017-08-20,83.48,92.48,75.20,28.60
1693,RP000098755,2017-08-21,82.58,92.48,,28.10
1694,RP000098755,2017-08-22,82.04,87.62,76.64,27.80
1695,RP000098755,2017-08-23,80.06,,,26.70
1696,RP000098755,2017-08-24,81.14,91.22,,27.30
1697,RP000098755,2017-08-25,81.68,91.40,,27.60
1698,RP000098755,2017-08-26,82.04,91.58,72.32,27.80
1699,RP000098755,2017-08-27,82.22,88.70,74.84,27.90
1700,RP000098755,2017-08-28,79.52,90.86,,26.40
1701,RP000098755,2017-08-29,83.66,93.74,74.30,28.70
1702,RP000098755,2017-08-30,85.28,94.82,77.00,29.60
1703,RP000098755,2017-08-31,84.92,95.72,,29.40
1704,RP000098755,2017-09-01,84.20,,,29.00
1705,RP000098755,2017-09-02,84.74,92.30,75.20,29.30
1706,RP000098755,2017-09-03,84.20,93.20,,29.00
1707,RP000098755,2017-09-04,83.12,93.02,,28.40
1708,RP000098755,2017-09-05,84.02,92.30,74.30,28.90
1709,RP000098755,2017-09-06,84.38,90.50,75.74,29.10
1710,RP000098755,2017-09-07,82.76,91.22,,28.20
1711,RP000098755,2017-09-08,85.64,93.20,76.10,29.80
1712,RP000098755,2017-09-09,82.40,97.34,,28.00
1713,RP000098755,2017-09-10,79.88,92.30,75.20,26.60
1714,RP000098755,2017-09-11,83.84,91.40,74.66,28.80
1715,RP000098755,2017-09-12,82.76,92.48,76.10,28.20
1716,RP000098755,2017-09-13,78.44,83.48,,25.80
1717,RP000098755,2017-09-14,80.60,88.70,,27.00
1718,RP000098755,2017-09-15,81.32,90.14,74.66,27.40
1719,RP000098755,2017-09-16,81.86,90.50,74.30,27.70
1720,RP000098755,2017-09-17,80.24,93.20,75.56,26.80
1721,RP000098755,2017-09-18,81.68,91.76,75.02,27.60
1722,RP000098755,2017-09-19,81.32,91.94,75.74,27.40
1723,RP000098755,2017-09-20,80.24,92.84,,26.80
1724,RP000098755,2017-09-21,78.98,84.20,75.02,26.10
1725,RP000098755,2017-09-22,80.42,88.70,75.20,26.90
1726,RP000098755,2017-09-23,81.14,88.34,74.84,27.30
1727,RP000098755,2017-09-24,77.72,,,25.40
1728,RP000098755,2017-09-25,78.62,85.82,73.40,25.90
1729,RP000098755,2017-09-26,80.78,93.74,,27.10
1730,RP000098755,2017-09-27,81.32,89.60,73.40,27.40
1731,RP000098755,2017-09-28,80.60,87.80,,27.00
1732,RP000098755,2017-09-29,77.72,80.96,71.96,25.40
1733,RP000098755,2017-09-30,82.40,92.30,74.30,28.00
1734,RP000098755,2017-10-01,83.12,90.68,75.74,28.40
1735,RP000098755,2017-10-02,82.40,90.68,,28.00
1736,RP000098755,2017-10-03,81.68,91.40,,27.60
1737,RP000098755,2017-10-04,82.58,89.96,74.84,28.10
1738,RP000098755,2017-10-05,81.14,90.50,,27.30
1739,RP000098755,2017-10-06,81.86,91.58,73.22,27.70
1740,RP000098755,2017-10-07,84.92,94.28,74.30,29.40
1741,RP000098755,2017-10-08,81.50,88.52,77.00,27.50
1742,RP000098755,2017-10-09,79.52,86.00,,26.40
1743,RP000098755,2017-10-10,81.50,88.52,73.40,27.50
1744,RP000098755,2017-10-11,84.92,94.28,75.20,29.40
1745,RP000098755,2017-10-12,85.28,96.98,79.34,29.60
1746,RP000098755,2017-10-13,84.02,93.20,,28.90
1747,RP000098755,2017-10-14,78.98,84.92,,26.10
1748,RP000098755,2017-10-15,80.06,86.54,75.02,26.70
1749,RP000098755,2017-10-16,80.96,93.92,74.48,27.20
1750,RP000098755,2017-10-17,80.78,86.54,77.18,27.10
1751,RP000098755,2017-10-18,80.78,86.72,77.36,27.10
1752,RP000098755,2017-10-19,81.50,89.24,,27.50
1753,RP000098755,2017-10-20,84.56,95.54,77.90,29.20
1754,RP000098755,2017-10-21,83.12,92.66,77.90,28.40
1755,RP000098755,2017-10-22,83.66,95.90,77.00,28.70
1756,RP000098755,2017-10-23,83.48,94.10,77.18,28.60
1757,RP000098755,2017-10-24,79.16,86.18,,26.20
1758,RP000098755,2017-10-25,80.78,87.62,74.66,27.10
1759,RP000098755,2017-10-26,82.58,91.40,,28.10
1760,RP000098755,2017-10-27,81.32,89.60,75.02,27.40
1761,RP000098755,2017-10-28,79.70,87.44,,26.50
1762,RP000098755,2017-10-29,81.32,88.34,,27.40
1763,RP000098755,2017-10-30,78.62,86.72,,25.90
1764,RP000098755,2017-10-31,81.32,,74.30,27.40
1765,RP000098755,2017-11-01,81.14,88.70,,27.30
1766,RP000098755,2017-11-02,81.32,,75.02,27.40
